Test,Id,Year_of_study,Gender,Secondary_school,finale srednja,Cources_mathematics,Cources_statistics,1. task-Maternity hospital,1. task-comment,1.task -comment-code,2. task-lotto,2. task-comment,2. task-comment-code,3. task-correlation,3.task-comment,3.task- comment-code,4. task-worker,4. task -comment,4.task-commnet-code,5. task-urn,5. task-comment,5.task-comment-code,6.task-lawyer_or_musician,6.task- comment,6. task -comment-code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19-obrnuto,19,20,Komentar
D,1,first,f,g,gimnazija,0,no,,,,v,"Šanse su male da se izvuče tačan aritmetički niz sa razlikom 2, a još manje da se izvuče 7 uzastopnih brojeva.",10,,,,v,Ambiciozan i perspektivan pa može biti i jedno i drugo.,1,a,Zvuči najverovatnije.,3,a,U opisu nema nikakve asocijacije na pravo.,1,2,3,3,2,5,5,3,4,2,3,2,2,5,2,4,5,5,4,4,2,5,Smatram da nemam dovoljno znanja iz statistike ali je i ne smatram toliko važnom za opšte dobro. Jedina veća primena su igre na sreću.
D,2,first,f,g,gimnazija,0,no,,,,g,Od 39 brojeva biram 7 za svaku kombinaciju je ista verovatnoća.,11,,,,a,"Piše da 70% radnika radi sa diplomom inženjera inf. Tehnologija, pa je veća verovatnoća.",11,b,Zato što ima više crvenih kuglica a i vratice svaku koju izvuče pa može i da zapmti gde je vratio.,2,b,Zato što od umetnosti u Srbiji ne može da se živi.,13,1,1,4,1,5,5,5,3,4,2,4,3,1,1,1,3,2,1,5,1,5,
D,3,first,m,g,gimnazija,0,no,,,,g,Sve imaju istu verovatnoću jer se bira 7 od 39 brojeva.,11,,,,a,Jer kompanija ima 70% radnika inženjera.,11,b,Najveća verovatnoća je pod b.,2,a,Zato što ga je zanimala muzika od malena pa je veća verovatnoća da svira klarinet.,1,2,2,3,4,5,4,3,5,4,4,3,3,4,3,3,4,3,3,3,3,4,
D,4,first,m,g,gimnazija,0,no,,,,g,"Svaki broj ima svoju lopticu, sve loptice su ravnopravne.",11,,,,a,Jer je 70% radnika te kompanije inženjeri informacionih tehnologija.,11,v,Dat je račun. Delimično tačan.,11,b,"Pod A je jako specifično (ima baš malo ljudi koji se bave time, a pod b je česta profesija i nešto na šta bi roditelji Marka nagovarali). Veće su šanse da mu je otac advokat nego član filharmonije. Možda klarineta nema u beogradskoj filharmoniji (ne znam) ne može se reći da je verovatnije pod a.",11,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,
D,5,first,m,v,elektro,0,no,,,,g,Kuglica ne zna koji je na njoj broj.,11,,,,a,70% radnika je iz IT.,11,a,Zašto komplikovati.,3,b,Svako može da voli umetnost i operu. Mislim da ima mnogo više pravnika nego svirača klarineta u neogradskoj filharmoniji.,11,,,,,,,,,,,,,,,,,,,,,,
D,6,first,m,g,gimnazija,0,no,,,,g,Svaki broj ima istu šansu da bude uzvučen.,11,,,,a,Ako je 70% radnika IT onda je logično.,11,v,Dat je tačan račun.,111,b,"Tvrdnja a je daleko specifičnija od tvrdnje b. Na svetu sigurno postoji daleko više pravnika, nego klarinetista u Beogradskog filharmoniji. Činjenica  da Marko voli muziku povećava verovatnoću da je a a li ne dovoljno da bi bila verovatnija od b.",11,2,3,4,4,4,3,3,3,2,2,3,3,4,3,2,5,3,2,4,2,2,
D,7,first,m,v,elektro,0,no,,,,g,"Pošto nam nije prikazan dosadašnji žreb, ne možemo zaključiti koja kombinacija ima veću šansu da bude izvučena.",11,,,,a,Jer zvuči najlogičnije,11,b,Pogrešan račun.,2,b,Jer je u Srbiji broj ljudi koji rade ono što vole sveden na minimum.,13,1,1,5,5,5,3,2,5,4,3,2,2,4,3,5,5,3,5,5,1,5,"Veoma interesantan i naporan test, po malo nejasan ali zanimljiv. Iskreno ne vidim kako bi moagao da doprinese mom znanju ali se nadam da će vama pomoći. Srećno!"
D,8,first,m,v,elektro,0,no,,,,g,Jer je verovatnoća da se izvuče bilo koji od njih ista.,11,,,,b,Veći je postotak inženjera.,11,b,Zbog većeg broja kuglica veće su šanse da će biti izvučeno 7 crvenih.,2,a,Jer voli umetnost.,1,1,3,3,4,4,4,3,4,3,3,3,3,3,2,4,4,5,4,2,4,4,
D,9,first,m,g,gimnazija,0,no,,,,g,Sve su kombinacije jednako verovatne,11,,,,a,Jer su 70% radnika inženjeri.,11,v,Da je barem 10 pokušaja bar jedna bi bila crvena.,11,b,Postoji više pravnika neko članova filharmonije. ,11,2,3,5,4,5,5,4,5,5,3,3,2,3,3,3,4,5,4,5,1,5,
D,10,first,m,v,elektro,0,no,,,,v,"Nije monotono rastući kao prva dva. Drugim rečima, veoma mala verovatnoća za prva dva.",1,,,,a,Jer najveći broj zaposlenih ima baš tu diplomu.,11,a,50% šanse i jedno uuzvlačenje za razliku od drugih.,1,a,Zbog tvrdnje u tekstu da voli muziku.,1,1,1,5,3,5,2,5,2,3,2,1,3,3,1,1,2,4,1,1,5,1,
